DataProyectoMineria_Sexo,DataProyectoMineria_Zona,DataProyectoMineria_Departamento,DataProyectoMineria_Etario,DataProyectoMineria_Grupo,DataProyectoMineria_No_carente,DataProyectoMineria_Valor,DataProyectoMineria_Total,DataProyectoMineria_Proporción,DataProyectoMineria_Variable,DataProyectoMineria_ID,DataProyectoMineria_Nombre_dpto
Hombre,Rural,5,Menor,Colombiana,20274.84,188067.9,208342.79,0.902684945324962,Sin internet,3850,Antioquia
Hombre,Rural,5,Menor,Colombiana,36465.01,171877.8,208342.79,0.82497599268974,Sin alcantarillado,2782,Antioquia
Hombre,Rural,5,Menor,Colombiana,76643.87,27792.39,104436.3,0.266118102613746,Sin suministro continuo de agua,2280,Antioquia
Hombre,Rural,5,Menor,Colombiana,94285.76,114057,208342.79,0.547448750206331,Sin recogida de basuras,1212,Antioquia
Hombre,Rural,5,Menor,Colombiana,104436.3,103906.5,208342.79,0.498728561713127,Sin acueducto,1746,Antioquia
Hombre,Rural,5,Menor,Colombiana,108449.5,99893.3,208342.79,0.479466076075875,Hacinamiento,678,Antioquia
Hombre,Rural,5,Menor,Colombiana,118112,90230.83,208342.79,0.43308832525474,Sin sanitario,4918,Antioquia
Hombre,Rural,5,Menor,Colombiana,138851.9,69490.9,208342.79,0.333541179898762,Sin combustible adecuado para cocinar,144,Antioquia
Hombre,Rural,5,Menor,Colombiana,169486,38856.77,208342.79,0.186504030209061,Sin refrigerador,4384,Antioquia
Hombre,Rural,5,Menor,Colombiana,176145.2,32197.62,208342.79,0.154541561049461,Sin pisos duraderos,5986,Antioquia
Hombre,Rural,5,Menor,Colombiana,188162.9,20179.86,208342.79,0.0968589313793868,Sin espacio exclusivo para la cocina,3316,Antioquia
Hombre,Rural,5,Menor,Colombiana,200272.3,8070.455,208342.79,0.0387364256761657,Sin paredes duraderas,6520,Antioquia
Hombre,Rural,5,Menor,Colombiana,206381.6,1961.227,208342.79,0.00941346230411909,Sin electricidad,5452,Antioquia
Hombre,Rural,5,Menor,Venezolana,585.74837,2095.068,2680.816,0.781503840621662,Hacinamiento,679,Antioquia
Hombre,Rural,5,Menor,Venezolana,717.19531,1963.621,2680.816,0.732471381847915,Sin internet,3851,Antioquia
Hombre,Rural,5,Menor,Venezolana,1115.5955,0,1115.5955,0,Sin suministro continuo de agua,2281,Antioquia
Hombre,Rural,5,Menor,Venezolana,1115.5955,1565.221,2680.816,0.583859914294752,Sin acueducto,1747,Antioquia
Hombre,Rural,5,Menor,Venezolana,1115.5955,1565.221,2680.816,0.583859914294752,Sin alcantarillado,2783,Antioquia
Hombre,Rural,5,Menor,Venezolana,1115.5955,1565.221,2680.816,0.583859914294752,Sin recogida de basuras,1213,Antioquia
Hombre,Rural,5,Menor,Venezolana,1565.221,1115.5955,2680.816,0.416140272215624,Sin refrigerador,4385,Antioquia
Hombre,Rural,5,Menor,Venezolana,1651.443,1029.373,2680.816,0.383977490435748,Sin sanitario,4919,Antioquia
Hombre,Rural,5,Menor,Venezolana,2144.968,535.84787,2680.816,0.199882375366306,Sin espacio exclusivo para la cocina,3317,Antioquia
Hombre,Rural,5,Menor,Venezolana,2493.468,187.348175,2680.816,0.0698847571038072,Sin combustible adecuado para cocinar,145,Antioquia
Hombre,Rural,5,Menor,Venezolana,2680.816,0,2680.816,0,Sin electricidad,5453,Antioquia
Hombre,Rural,5,Menor,Venezolana,2680.816,0,2680.816,0,Sin paredes duraderas,6521,Antioquia
Hombre,Rural,5,Menor,Venezolana,2680.816,0,2680.816,0,Sin pisos duraderos,5987,Antioquia
Hombre,Rural,8,Mayor,Colombiana,1407.553,84993.17,86400.72,0.983709047794972,Sin alcantarillado,2790,Atlántico
Hombre,Rural,8,Mayor,Colombiana,5317.7513,81082.97,86400.72,0.938452480488589,Sin internet,3858,Atlántico
Hombre,Rural,8,Mayor,Colombiana,24182.26,44011.72,68193.97,0.645390200922457,Sin suministro continuo de agua,2287,Atlántico
Hombre,Rural,8,Mayor,Colombiana,53043.02,33357.7,86400.72,0.386081273396796,Sin espacio exclusivo para la cocina,3324,Atlántico
Hombre,Rural,8,Mayor,Colombiana,53489.54,32911.18,86400.72,0.380913260908011,Hacinamiento,686,Atlántico
Hombre,Rural,8,Mayor,Colombiana,55086.01,31314.71,86400.72,0.362435752850208,Sin recogida de basuras,1220,Atlántico
Hombre,Rural,8,Mayor,Colombiana,62404.18,23996.55,86400.72,0.277735532759449,Sin combustible adecuado para cocinar,152,Atlántico
Hombre,Rural,8,Mayor,Colombiana,68193.97,18206.75,86400.72,0.210724517110506,Sin acueducto,1754,Atlántico
Hombre,Rural,8,Mayor,Colombiana,69880.934,16519.79,86400.72,0.191199679817483,Sin refrigerador,4392,Atlántico
Hombre,Rural,8,Mayor,Colombiana,73731.5,3034.16,76765.66,0.0395249646782168,Sin empleo,7045,Atlántico
Hombre,Rural,8,Mayor,Colombiana,79387.46,7013.268,86400.72,0.0811714069049425,Sin sanitario,4926,Atlántico
Hombre,Rural,8,Mayor,Colombiana,84334.382,2066.343,86400.72,0.0239158076460474,Sin electricidad,5460,Atlántico
Hombre,Rural,8,Mayor,Colombiana,84871.77,1528.954,86400.72,0.0176960793845236,Sin pisos duraderos,5994,Atlántico
Hombre,Rural,8,Mayor,Colombiana,85951.6,449.1273,86400.72,0.00519818932064455,Sin paredes duraderas,6528,Atlántico
Hombre,Rural,8,Mayor,Retornada,0,4875.075,4875.075,1,Sin alcantarillado,2791,Atlántico
Hombre,Rural,8,Mayor,Retornada,0,4875.075,4875.075,1,Sin internet,3859,Atlántico
Hombre,Rural,8,Mayor,Retornada,1069.342,1653.155,2722.497,0.607220136514384,Sin suministro continuo de agua,2288,Atlántico
Hombre,Rural,8,Mayor,Retornada,1216.063,3659.012,4875.075,0.750555017102301,Sin recogida de basuras,1221,Atlántico
Hombre,Rural,8,Mayor,Retornada,1620.294,3254.781,4875.075,0.66763711327518,Sin espacio exclusivo para la cocina,3325,Atlántico
Hombre,Rural,8,Mayor,Retornada,2257.811,2617.263,4875.075,0.53686620205843,Hacinamiento,687,Atlántico
Hombre,Rural,8,Mayor,Retornada,2568.704,2306.3703,4875.075,0.473094321625821,Sin refrigerador,4393,Atlántico
Hombre,Rural,8,Mayor,Retornada,2722.497,2152.5778,4875.075,0.441547627472398,Sin acueducto,1755,Atlántico
Hombre,Rural,8,Mayor,Retornada,2747.594,2127.4805,4875.075,0.43639954257114,Sin combustible adecuado para cocinar,153,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465.473,409.60156,4875.075,0.0840195402122019,Sin paredes duraderas,6529,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465.473,409.60156,4875.075,0.0840195402122019,Sin pisos duraderos,5995,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465.473,409.60156,4875.075,0.0840195402122019,Sin sanitario,4927,Atlántico
Hombre,Rural,8,Mayor,Retornada,4670.274,0,4670.274,0,Sin empleo,7046,Atlántico
Hombre,Rural,8,Mayor,Retornada,4875.075,0,4875.075,0,Sin electricidad,5461,Atlántico
Hombre,Rural,8,Mayor,Venezolana,0,7172.271,7172.271,1,Sin internet,3860,Atlántico
Hombre,Rural,8,Mayor,Venezolana,1376.16,5796.111,7172.271,0.808127718542704,Sin alcantarillado,2792,Atlántico
Hombre,Rural,8,Mayor,Venezolana,2755.345,4416.926,7172.271,0.615833673880979,Sin refrigerador,4394,Atlántico
Hombre,Rural,8,Mayor,Venezolana,2767.075,3084.245,5851.32,0.527102431588086,Sin suministro continuo de agua,2289,Atlántico
Hombre,Rural,8,Mayor,Venezolana,3048.627,4123.644,7172.271,0.57494258094821,Sin espacio exclusivo para la cocina,3326,Atlántico
Hombre,Rural,8,Mayor,Venezolana,3749.912,3422.359,7172.271,0.477165321834604,Hacinamiento,688,Atlántico
Hombre,Rural,8,Mayor,Venezolana,4680.917,2491.354,7172.271,0.347359155837809,Sin recogida de basuras,1222,Atlántico
Hombre,Rural,8,Mayor,Venezolana,5307.401,1864.87,7172.271,0.260011089932324,Sin combustible adecuado para cocinar,154,Atlántico
Hombre,Rural,8,Mayor,Venezolana,5798.376,1373.895,7172.271,0.191556481900921,Sin sanitario,4928,Atlántico
Hombre,Rural,8,Mayor,Venezolana,5851.32,1320.9505,7172.271,0.184174649842428,Sin acueducto,1756,Atlántico
Hombre,Rural,8,Mayor,Venezolana,6789.503,0,6789.503,0,Sin empleo,7047,Atlántico
Hombre,Rural,8,Mayor,Venezolana,6900.144,272.12708,7172.271,0.0379415501728811,Sin electricidad,5462,Atlántico
Hombre,Rural,8,Mayor,Venezolana,6949.406,222.86447,7172.271,0.0310730687672008,Sin pisos duraderos,5996,Atlántico
Hombre,Rural,8,Mayor,Venezolana,7172.271,0,7172.271,0,Sin paredes duraderas,6530,Atlántico
Hombre,Rural,8,Menor,Colombiana,0,46162.49,46162.49,1,Sin alcantarillado,2787,Atlántico
Hombre,Rural,8,Menor,Colombiana,406.15877,0,406.15877,0,Sin empleo,7044,Atlántico
Hombre,Rural,8,Menor,Colombiana,1570.807,44591.688,46162.49,0.965972329482227,Sin internet,3855,Atlántico
Hombre,Rural,8,Menor,Colombiana,12611.09,27351.453,39962.54,0.68442729115817,Sin suministro continuo de agua,2285,Atlántico
Hombre,Rural,8,Menor,Colombiana,20095.16,26067.34,46162.49,0.564686610276006,Hacinamiento,683,Atlántico
Hombre,Rural,8,Menor,Colombiana,27931.21,18231.29,46162.49,0.394937318155931,Sin espacio exclusivo para la cocina,3321,Atlántico
Hombre,Rural,8,Menor,Colombiana,31456.47,14706.03,46162.49,0.318570986963658,Sin recogida de basuras,1217,Atlántico
Hombre,Rural,8,Menor,Colombiana,33179.92,12982.58,46162.49,0.28123656241247,Sin combustible adecuado para cocinar,149,Atlántico
Hombre,Rural,8,Menor,Colombiana,37298.94,8863.557,46162.49,0.192007775143845,Sin refrigerador,4389,Atlántico
Hombre,Rural,8,Menor,Colombiana,39962.54,6199.956,46162.49,0.134307226494931,Sin acueducto,1751,Atlántico
Hombre,Rural,8,Menor,Colombiana,40638.51,5523.99,46162.49,0.119664038919911,Sin sanitario,4923,Atlántico
Hombre,Rural,8,Menor,Colombiana,44517.15,1645.342,46162.49,0.0356424014389172,Sin electricidad,5457,Atlántico
Hombre,Rural,8,Menor,Colombiana,45929.46,233.034668,46162.49,0.0050481390410266,Sin paredes duraderas,6525,Atlántico
Hombre,Rural,8,Menor,Colombiana,45973.099,189.395752,46162.49,0.00410280623943812,Sin pisos duraderos,5991,Atlántico
Hombre,Rural,8,Menor,Retornada,0,508.48901,508.48901,1,Sin acueducto,1752,Atlántico
Hombre,Rural,8,Menor,Retornada,0,508.48901,508.48901,1,Sin alcantarillado,2788,Atlántico
Hombre,Rural,8,Menor,Retornada,0,508.48901,508.48901,1,Sin combustible adecuado para cocinar,150,Atlántico
Hombre,Rural,8,Menor,Retornada,0,508.48901,508.48901,1,Sin espacio exclusivo para la cocina,3322,Atlántico
Hombre,Rural,8,Menor,Retornada,0,508.48901,508.48901,1,Sin internet,3856,Atlántico
Hombre,Rural,8,Menor,Retornada,0,508.48901,508.48901,1,Sin recogida de basuras,1218,Atlántico
Hombre,Rural,8,Menor,Retornada,508.48901,0,508.48901,0,Hacinamiento,684,Atlántico
Hombre,Rural,8,Menor,Retornada,508.48901,0,508.48901,0,Sin electricidad,5458,Atlántico
Hombre,Rural,8,Menor,Retornada,508.48901,0,508.48901,0,Sin paredes duraderas,6526,Atlántico
Hombre,Rural,8,Menor,Retornada,508.48901,0,508.48901,0,Sin pisos duraderos,5992,Atlántico
Hombre,Rural,8,Menor,Retornada,508.48901,0,508.48901,0,Sin refrigerador,4390,Atlántico
Hombre,Rural,8,Menor,Retornada,508.48901,0,508.48901,0,Sin sanitario,4924,Atlántico
Hombre,Rural,8,Menor,Venezolana,0,5903.104,5903.104,1,Sin internet,3857,Atlántico
Hombre,Rural,8,Menor,Venezolana,688.079895,5215.024,5903.104,0.883437594865345,Sin alcantarillado,2789,Atlántico
Hombre,Rural,8,Menor,Venezolana,1925.742,3977.362,5903.104,0.673774678542001,Hacinamiento,685,Atlántico
Hombre,Rural,8,Menor,Venezolana,2879.751,2617.202,5496.953,0.476118678838986,Sin suministro continuo de agua,2286,Atlántico
Hombre,Rural,8,Menor,Venezolana,3275.157,2627.947,5903.104,0.445180535528427,Sin refrigerador,4391,Atlántico
Hombre,Rural,8,Menor,Venezolana,3327.891,2575.214,5903.104,0.436247438635674,Sin recogida de basuras,1219,Atlántico
Hombre,Rural,8,Menor,Venezolana,3469.772,2433.332,5903.104,0.412212286959539,Sin espacio exclusivo para la cocina,3323,Atlántico
Hombre,Rural,8,Menor,Venezolana,5003.223,899.88095,5903.104,0.152441994923349,Sin combustible adecuado para cocinar,151,Atlántico
Hombre,Rural,8,Menor,Venezolana,5496.953,406.15103,5903.104,0.0688029602731038,Sin acueducto,1753,Atlántico
Hombre,Rural,8,Menor,Venezolana,5903.104,0,5903.104,0,Sin electricidad,5459,Atlántico
Hombre,Rural,8,Menor,Venezolana,5903.104,0,5903.104,0,Sin paredes duraderas,6527,Atlántico
Hombre,Rural,8,Menor,Venezolana,5903.104,0,5903.104,0,Sin pisos duraderos,5993,Atlántico
Hombre,Rural,8,Menor,Venezolana,5903.104,0,5903.104,0,Sin sanitario,4925,Atlántico
Hombre,Rural,11,Mayor,Colombiana,0,583.47797,583.47797,1,Sin acueducto,1758,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,0,583.47797,583.47797,1,Sin alcantarillado,2794,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,361.71547,221.7625,583.47797,0.380070047888869,Sin empleo,7049,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,513.50148,69.976486,583.47797,0.119929953824992,Sin internet,3862,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,513.50148,69.976486,583.47797,0.119929953824992,Sin refrigerador,4396,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,0,Hacinamiento,690,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,0,Sin combustible adecuado para cocinar,156,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,0,Sin electricidad,5464,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,0,Sin espacio exclusivo para la cocina,3328,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,0,Sin paredes duraderas,6532,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,0,Sin pisos duraderos,5998,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,0,Sin recogida de basuras,1224,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,0,Sin sanitario,4930,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,0,139.95297,139.95297,1,Sin acueducto,1757,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,0,139.95297,139.95297,1,Sin alcantarillado,2793,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,0,139.95297,139.95297,1,Sin internet,3861,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,0,139.95297,139.95297,1,Sin refrigerador,4395,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,69.976486,69.976486,139.95297,0.500000007145257,Sin empleo,7048,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,0,Hacinamiento,689,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,0,Sin combustible adecuado para cocinar,155,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,0,Sin electricidad,5463,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,0,Sin espacio exclusivo para la cocina,3327,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,0,Sin paredes duraderas,6531,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,0,Sin pisos duraderos,5997,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,0,Sin recogida de basuras,1223,"Bogotá, D.C."
